x,y
饱受争议,-0.139478424
饱学,0.555555556
饱学之士,0.777777778
饱以老拳,-0.555555556
饱以拳脚,-0.141843661
饱雨,0.777777778
宝爱,0.777777778
宝贝,1
宝贝儿,0.555555556
宝贝疙瘩,0.777777778
宝藏,0.555555556
宝刀,0.111111111
宝刀不老,0.555555556
宝刀磨利,0.022733008027506
宝地,0.777777778
宝典,0.555555556
宝贵,0.405840972771995
宝号,0.777777778
宝盒,0.777777778
宝货,0.777777778
宝剑,0.777777778
宝卷,0.777777778
宝眷,0.777777778
宝库,0.777777778
宝山,0.3719397365
宝山空回,-0.555555556
宝书,0.777777778
宝塔,0.333333333
宝重,0.111111111
宝珠市饼,0.555555556
宝座,0.188748438776451
保安,0.509566662296255
保不定,0.555555556
保不齐,0.555555556
保不住,0.555555556
保残守缺,-0.777777778
保藏,0.555555556
保持,0.15514829934147
保持低调,0.0316343028346215
保持很好,0.273080066486942
保持连络,0.0798093106751174
保持领先,0.108938481198465
保持疑心,-0.023249831
保得,0.42594148920282
保护伞,-0.111111111
保护主义压力,-0.055473729
保皇,-0.333333333
保家卫国,0.555555556
保境息民,0.555555556
保密,0.161715594358385
保释,0.170116560235519
保守,-0.1378416235
保送,0.0817894711297144
保泰持盈,0.555555556
保卫,0.140613835617759
保养,0.777777778
保养欠佳,-0.019884881
保盈持泰,0.555555556
保有自尊,0.301807305208598
保佑,0.340754285841308
保障,0.777777778
保障福利,0.262363694731835
保障支持,0.0577275377472541
保证,0.130423338994206
保证好,0.318181085816753
保证增加,0.107427646357615
保证遵循,0.065211669497103
保重,0.777777778
保住,0.0986196689658007
保准,0.555555556
鸨母,-0.555555556
报本反始,0.777777778
报本返始,1
报偿,0.777777778
报仇,-0.6072638985
报仇雪耻,-0.555555556
报仇雪恨,-0.777777778
报酬,0.051734501743232
报雠雪恨,-0.777777778
报答,0.303645028871616
报到支援,0.069873926226811
报德,0.333333333
报恩,0.302942778753871
报废,-0.777777778
报复,-0.175975446
报复威胁,-0.049457525
报复性,-0.002911774
报复主义,-0.777777778
报国,0.555555556
报捷,0.555555556
报歉,-0.028087119
报丧,-1
报喜,0.480299207083225
报效,0.555555556
报谢,0.333333333
报以嘘声,-0.025009254
报应,-0.4029990925
报应不爽,0.555555556
报忧,-0.214527797
报怨,-0.248426102
报怨声,-0.149305537
